"Name"	"DisplayName"	"ShortName"	"EnvPackage"	"EnvPackageDisplay"	"Description"	"Example"
"MIGS.eu.air.4.0"	"MIGS: eukaryote, air; version 4.0"	"MIGS Eukaryotic"	"air"	"air"	""	"SAMN02900669"
"MIGS.eu.built.4.0"	"MIGS: eukaryote, built; version 4.0"	"MIGS Eukaryotic"	"built"	"built"	""	"SAMN02900669"
"MIGS.eu.host-associated.4.0"	"MIGS: eukaryote, host-associated; version 4.0"	"MIGS Eukaryotic"	"host-associated"	"host-associated"	""	"SAMN02776974"
"MIGS.eu.human-associated.4.0"	"MIGS: eukaryote, human-associated; version 4.0"	"MIGS Eukaryotic"	"human-associated"	"human-associated"	""	"SAMN02909964"
"MIGS.eu.human-gut.4.0"	"MIGS: eukaryote, human-gut; version 4.0"	"MIGS Eukaryotic"	"human-gut"	"human-gut"	""	"SAMN02909964"
"MIGS.eu.human-oral.4.0"	"MIGS: eukaryote, human-oral; version 4.0"	"MIGS Eukaryotic"	"human-oral"	"human-oral"	""	"SAMN02909964"
"MIGS.eu.human-skin.4.0"	"MIGS: eukaryote, human-skin; version 4.0"	"MIGS Eukaryotic"	"human-skin"	"human-skin"	""	"SAMN02909964"
"MIGS.eu.human-vaginal.4.0"	"MIGS: eukaryote, human-vaginal; version 4.0"	"MIGS Eukaryotic"	"human-vaginal"	"human-vaginal"	""	"SAMN02909964"
"MIGS.eu.microbial.4.0"	"MIGS: eukaryote, microbial; version 4.0"	"MIGS Eukaryotic"	"microbial"	"microbial mat/biofilm"	""	"SAMN02639477"
"MIGS.eu.miscellaneous.4.0"	"MIGS: eukaryote, miscellaneous; version 4.0"	"MIGS Eukaryotic"	"miscellaneous"	"miscellaneous or artificial"	""	"SAMN02838029"
"MIGS.eu.plant-associated.4.0"	"MIGS: eukaryote, plant-associated; version 4.0"	"MIGS Eukaryotic"	"plant-associated"	"plant-associated"	""	"SAMN02469069"
"MIGS.eu.sediment.4.0"	"MIGS: eukaryote, sediment; version 4.0"	"MIGS Eukaryotic"	"sediment"	"sediment"	""	"SAMN02903338"
"MIGS.eu.soil.4.0"	"MIGS: eukaryote, soil; version 4.0"	"MIGS Eukaryotic"	"soil"	"soil"	""	"SAMN02796050"
"MIGS.eu.wastewater.4.0"	"MIGS: eukaryote, wastewater; version 4.0"	"MIGS Eukaryotic"	"wastewater"	"wastewater/sludge"	""	"SAMN02928772"
"MIGS.eu.water.4.0"	"MIGS: eukaryote, water; version 4.0"	"MIGS Eukaryotic"	"water"	"water"	""	"SAMN02729510"
"MIGS.vi.4.0"	"MIGS: virus; version 4.0"	"MIGS Viral"	"No environmental package"	"No environmental package"	""	"SAMN02412548"
"MIGS.vi.air.4.0"	"MIGS: virus, air; version 4.0"	"MIGS Viral"	"air"	"air"	""	"SAMN02412548"
"MIGS.vi.built.4.0"	"MIGS: virus, built; version 4.0"	"MIGS Viral"	"built"	"built"	""	"SAMN02412548"
"MIGS.vi.host-associated.4.0"	"MIGS: virus, host-associated; version 4.0"	"MIGS Viral"	"host-associated"	"host-associated"	""	"SAMN00792846"
"MIGS.vi.human-associated.4.0"	"MIGS: virus, human-associated; version 4.0"	"MIGS Viral"	"human-associated"	"human-associated"	""	"SAMN00780298"
"MIGS.vi.human-gut.4.0"	"MIGS: virus, human-gut; version 4.0"	"MIGS Viral"	"human-gut"	"human-gut"	""	"SAMN00780298"
"MIGS.vi.human-oral.4.0"	"MIGS: virus, human-oral; version 4.0"	"MIGS Viral"	"human-oral"	"human-oral"	""	"SAMN00780298"
"MIGS.vi.human-skin.4.0"	"MIGS: virus, human-skin; version 4.0"	"MIGS Viral"	"human-skin"	"human-skin"	""	"SAMN00780298"
"MIGS.vi.human-vaginal.4.0"	"MIGS: virus, human-vaginal; version 4.0"	"MIGS Viral"	"human-vaginal"	"human-vaginal"	""	"SAMN00780298"
"MIGS.vi.microbial.4.0"	"MIGS: virus, microbial; version 4.0"	"MIGS Viral"	"microbial"	"microbial mat/biofilm"	""	"SAMN02412548"
"MIGS.vi.miscellaneous.4.0"	"MIGS: virus, miscellaneous; version 4.0"	"MIGS Viral"	"miscellaneous"	"miscellaneous or artificial"	""	"SAMN02412548"
"MIGS.vi.plant-associated.4.0"	"MIGS: virus, plant-associated; version 4.0"	"MIGS Viral"	"plant-associated"	"plant-associated"	""	"SAMN02412548"
"MIGS.vi.sediment.4.0"	"MIGS: virus, sediment; version 4.0"	"MIGS Viral"	"sediment"	"sediment"	""	"SAMN02412548"
"MIGS.vi.soil.4.0"	"MIGS: virus, soil; version 4.0"	"MIGS Viral"	"soil"	"soil"	""	"SAMN02692667"
"MIGS.vi.wastewater.4.0"	"MIGS: virus, wastewater; version 4.0"	"MIGS Viral"	"wastewater"	"wastewater/sludge"	""	"SAMN02412548"
"MIGS.vi.water.4.0"	"MIGS: virus, water; version 4.0"	"MIGS Viral"	"water"	"water"	""	"SAMN02928814"
"MIMARKS.specimen.4.0"	"MIMARKS: specimen; version 4.0"	"MIMARKS Specimen"	"No environmental package"	"No environmental package"	""	"SAMN02905116"
"MIMARKS.specimen.air.4.0"	"MIMARKS: specimen, air; version 4.0"	"MIMARKS Specimen"	"air"	"air"	""	"SAMN02905116"
"MIMARKS.specimen.built.4.0"	"MIMARKS: specimen, built; version 4.0"	"MIMARKS Specimen"	"built"	"built"	""	"SAMN02905116"
"MIMARKS.specimen.host-associated.4.0"	"MIMARKS: specimen, host-associated; version 4.0"	"MIMARKS Specimen"	"host-associated"	"host-associated"	""	"SAMN02902605"
"MIMARKS.specimen.human-associated.4.0"	"MIMARKS: specimen, human-associated; version 4.0"	"MIMARKS Specimen"	"human-associated"	"human-associated"	""	"SAMN02256168"
"MIMARKS.specimen.human-gut.4.0"	"MIMARKS: specimen, human-gut; version 4.0"	"MIMARKS Specimen"	"human-gut"	"human-gut"	""	"SAMN02799483"
"MIMARKS.specimen.human-oral.4.0"	"MIMARKS: specimen, human-oral; version 4.0"	"MIMARKS Specimen"	"human-oral"	"human-oral"	""	"SAMN02486006"
"MIMARKS.specimen.human-skin.4.0"	"MIMARKS: specimen, human-skin; version 4.0"	"MIMARKS Specimen"	"human-skin"	"human-skin"	""	"SAMN02256168"
"MIMARKS.specimen.human-vaginal.4.0"	"MIMARKS: specimen, human-vaginal; version 4.0"	"MIMARKS Specimen"	"human-vaginal"	"human-vaginal"	""	"SAMN02256168"
"MIMARKS.specimen.microbial.4.0"	"MIMARKS: specimen, microbial; version 4.0"	"MIMARKS Specimen"	"microbial"	"microbial mat/biofilm"	""	"SAMN02905116"
"MIMARKS.specimen.miscellaneous.4.0"	"MIMARKS: specimen, miscellaneous; version 4.0"	"MIMARKS Specimen"	"miscellaneous"	"miscellaneous or artificial"	""	"SAMN02690052"
"MIMARKS.specimen.plant-associated.4.0"	"MIMARKS: specimen, plant-associated; version 4.0"	"MIMARKS Specimen"	"plant-associated"	"plant-associated"	""	"SAMN03009543"
"MIMARKS.specimen.sediment.4.0"	"MIMARKS: specimen, sediment; version 4.0"	"MIMARKS Specimen"	"sediment"	"sediment"	""	"SAMN02044724"
"MIMARKS.specimen.soil.4.0"	"MIMARKS: specimen, soil; version 4.0"	"MIMARKS Specimen"	"soil"	"soil"	""	"SAMN02468916"
"MIMARKS.specimen.wastewater.4.0"	"MIMARKS: specimen, wastewater; version 4.0"	"MIMARKS Specimen"	"wastewater"	"wastewater/sludge"	""	"SAMN02382038"
"MIMARKS.specimen.water.4.0"	"MIMARKS: specimen, water; version 4.0"	"MIMARKS Specimen"	"water"	"water"	""	"SAMN02927987"
"MIMARKS.survey.air.4.0"	"MIMARKS: survey, air; version 4.0"	"MIMARKS Survey related"	"air"	"air"	""	"SAMN02872842"
"MIMARKS.survey.built.4.0"	"MIMARKS: survey, built; version 4.0"	"MIMARKS Survey related"	"built"	"built"	""	"SAMN02872842"
"MIMARKS.survey.host-associated.4.0"	"MIMARKS: survey, host-associated; version 4.0"	"MIMARKS Survey related"	"host-associated"	"host-associated"	""	"SAMN02908805"
"MIMARKS.survey.human-associated.4.0"	"MIMARKS: survey, human-associated; version 4.0"	"MIMARKS Survey related"	"human-associated"	"human-associated"	""	"SAMN02256130"
"MIMARKS.survey.human-gut.4.0"	"MIMARKS: survey, human-gut; version 4.0"	"MIMARKS Survey related"	"human-gut"	"human-gut"	""	"SAMN02722276"
"MIMARKS.survey.human-oral.4.0"	"MIMARKS: survey, human-oral; version 4.0"	"MIMARKS Survey related"	"human-oral"	"human-oral"	""	"SAMN02584167"
"MIMARKS.survey.human-skin.4.0"	"MIMARKS: survey, human-skin; version 4.0"	"MIMARKS Survey related"	"human-skin"	"human-skin"	""	"SAMN02256130"
"MIMARKS.survey.human-vaginal.4.0"	"MIMARKS: survey, human-vaginal; version 4.0"	"MIMARKS Survey related"	"human-vaginal"	"human-vaginal"	""	"SAMN02256130"
"MIMARKS.survey.microbial.4.0"	"MIMARKS: survey, microbial; version 4.0"	"MIMARKS Survey related"	"microbial"	"microbial mat/biofilm"	""	"SAMN02898629"
"MIMARKS.survey.miscellaneous.4.0"	"MIMARKS: survey, miscellaneous; version 4.0"	"MIMARKS Survey related"	"miscellaneous"	"miscellaneous or artificial"	""	"SAMN02721610"
"MIMARKS.survey.plant-associated.4.0"	"MIMARKS: survey, plant-associated; version 4.0"	"MIMARKS Survey related"	"plant-associated"	"plant-associated"	""	"SAMN01888400"
"MIMARKS.survey.sediment.4.0"	"MIMARKS: survey, sediment; version 4.0"	"MIMARKS Survey related"	"sediment"	"sediment"	""	"SAMN02866459"
"MIMARKS.survey.soil.4.0"	"MIMARKS: survey, soil; version 4.0"	"MIMARKS Survey related"	"soil"	"soil"	""	"SAMN02919305"
"MIMARKS.survey.wastewater.4.0"	"MIMARKS: survey, wastewater; version 4.0"	"MIMARKS Survey related"	"wastewater"	"wastewater/sludge"	""	"SAMN02678185"
"MIMARKS.survey.water.4.0"	"MIMARKS: survey, water; version 4.0"	"MIMARKS Survey related"	"water"	"water"	""	"SAMN02767997"
"Beta-lactamase.1.0"	"Beta-lactamase; version 1.0"	"Beta-lactamase"	""	""	"Use for beta-lactamase gene transformants that have sequence and antibiotic resistance data. Please use the 'Supplementary Files' wizard to submit corresponding Sequin and Antibiogram files."	"SAMN04099646"
